"abbreviation","school_number"
BEC,206
BVC,204
CP_CES,703
CP_CMS,704
CP_CPK,72
CP_HS,709
CP_MES,701
CP_MMS,702
CP_MPK,71
EXA,99
GRAD,999999
Graduated Students,999999
Graduated Students,999999
NSA_AES,310
NSA_CHMS,303
NSA_CMS,311
NSA_DTMS,301
NSA_FES,307
NSA_IPES,315
NSA_LES,308
NSA_LPES,313
NSA_LPHS,312
NSA_LPMS,314
NSA_VES,304
NSA_VMS,306
NSA_WMS,309
NSA_WPES,305
NSA_WPHS,302
NYC_UBEM,203
NYC_UBNE,403
NYC_UBNM,404
NYC_UBPK,41
NYC_UBSE,402
NYC_UBSM,406
NYC_UBWE,401
NYC_UBWM,405
NYC_UCC,902
NYC_UCES,407
NYC_UCHE,208
NYC_UCHS,901
NYC_UCMS,408
NYC_UCPK,22
NYC_UEBE,101
NYC_UEBM,103
NYC_UEGE,102
NYC_UEGM,104
NYC_UEPK,11
NYC_UKES,207
NYC_UKMS,202
NYC_ULC,904
NYC_UOHM,205
NYC_UPC,903
NYC_UWES,209
NYC_UWMS,201
PDEC,699
PWAIT,600
PWAIT2,698
RP_ACES,506
RP_BCMS,501
RP_CCMS,505
RP_HS,509
RP_JCES,504
RP_SJCES,507
RP_SJCMS,508
RXP_DC,603
RXP_HS,609
RXP_LS,601
RXP_PS,602
SABO,971
SACA,962
SANE,961
SANY,951
SARO,952
TPES,503
TPHS,510
TPMS,502
WAITLIST,697
ZYT,999
ZZT,8888
